Rule_ID,Category,Business_Rule_Plain_English,Primary_IRS_Authority,source_file
BR-0001,FILING REQUIREMENTS,"Use Form 1040 as the default individual return; offer Form 1040-SR only if the taxpayer was born before January 2, 1961.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0002,FILING REQUIREMENTS,"Set the standard filing deadline for calendar-year 2025 returns to April 15, 2026, and flag late-filing risk if submission occurs after that date.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0003,FILING REQUIREMENTS,"If the taxpayer is a nonresident alien or dual‑status alien, route to Form 1040‑NR workflow and apply alien-specific filing rules.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0004,FILING REQUIREMENTS,"If the return is e-filed, do not generate mailing instructions; if paper-filed, generate the correct mailing address guidance from the current instructions.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0005,FILING REQUIREMENTS,Treat a fiscal-year filer as an exception and require explicit tax year start/end months rather than assuming Jan 1–Dec 31.,Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0006,FILING REQUIREMENTS,Trigger an extension-path workflow when taxpayer requests more time; record whether payment is being made with the extension to reduce late-payment penalty exposure.,Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0007,FILING REQUIREMENTS,Require explicit state of residency and source-income flags if the taxpayer lived abroad or moved states (for federal return this affects residency/foreign income worksheets and info reporting).,Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0008,FILING REQUIREMENTS,Require the taxpayer to choose exactly one filing status and validate consistency with marital status and household facts for the year.,Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0009,FILING REQUIREMENTS,Block e-filing if required identity fields are missing (name/SSN/ITIN/DOB).,Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0010,FILING REQUIREMENTS,"Require explicit signature/authorization (self-sign, spouse sign, or paid preparer authorization) prior to final submission.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0011,DEDUCTIONS: STANDARD,"Determine whether someone can claim the taxpayer (or spouse, if filing jointly) as a dependent; if yes, compute the standard deduction using the dependent worksheet rather than the main table.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0012,DEDUCTIONS: STANDARD,"If married filing separately and the spouse itemizes deductions, set the taxpayer’s standard deduction to zero.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
