Scenario #,Category,Label,Auto-Check (rule engine),Expected Strategies,Actual Strategies Fired,Missing (rule did NOT fire — verify in AI chat),False Positives (rule fired incorrectly),AI Must Cover (auditor checklist),Auditor: Conversation Quality (1–5),Auditor: Tax Accuracy (1–5),Auditor: IRS Code References Correct? (Y / N / Partial),Auditor: Exactly ONE question per AI turn? (Y / N),Auditor: Any disclaimers 'consult a tax professional'? (Y/N — should be N),"Auditor: Priority Issues (P0 = wrong tax advice, P1 = missing strategy, P2 = UX)",Context / Notes
1,W2,"W2-01: Single, $60K, renter, no dependents",PASS,401(k) | IRA,Maximize 401(k) Contribution | Contribute to IRA | Student Loan Interest Deduction | Consider High-Deductible Health Plan with HSA,,,retirement contributions || standard deduction,,,,,,,FIXED P1-001: Saver's Credit now fires for single/HoH filers. Auditor: does AI mention Saver's Credit in conversation?
2,W2,"W2-02: Single, $120K, renter, no dependents",PASS,401(k) | IRA,Maximize 401(k) Contribution | Contribute to IRA | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,IRA contribution limits and phase-out,,,,,,,IRA phase-out at $87K–$102K single — AI should mention backdoor Roth
3,W2,"W2-03: MFJ, $180K combined W-2, 2 kids",PASS,Child Tax Credit | Child and Dependent Care | 401(k),Maximize 401(k) Contribution | Child Tax Credit | Additional Child Tax Credit (Refundable) | Child and Dependent Care Credit | Contribute to IRA | Spousal IRA Contribution,,,Child Tax Credit phase-out || dependent care FSA vs credit,,,,,,,Classic family W-2 — both child credits must appear. SALT cap ($10K) is relevant.
4,W2,"W2-04: HoH filing status, $55K, 1 child under 13",PASS,Head of Household | Child Tax Credit | Child and Dependent Care,Maximize 401(k) Contribution | Earned Income Tax Credit (EITC) | Child Tax Credit | Additional Child Tax Credit (Refundable) | Consider Head of Household Status | Contribute to IRA,,,Head of Household qualification rules || Child Tax Credit full amount,,,,,,,"Single parent — HoH status saves ~$3,000 vs single. Detector must catch this."
5,W2,"W2-05: Single, $500K W-2",PASS,401(k),Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,mega backdoor Roth || deferred compensation (NQDC),,,,,,,Ultra-high W-2 — AI should discuss NQDC plan and mega backdoor Roth beyond just 401k
6,W2,"W2-06: MFJ, $250K, owns home, age 52",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Spousal IRA Contribution | Consider Itemizing Deductions | Consider High-Deductible Health Plan with HSA,,,"catch-up contributions ($7,500 extra at age 50+) || itemizing vs standard deduction",,,,,,,Age 52 — catch-up 401k contribution must be discussed. Mortgage + SALT likely clears standard deduction.
7,W2,"W2-07: Single, $38K, HDHP enrolled",PASS,HSA | IRA,Contribute to IRA | Maximize HSA Contribution | Earned Income Tax Credit (EITC) | Student Loan Interest Deduction,,,HSA triple tax advantage || Saver's Credit (manual — rule has P1-001 bug),,,,,,,FIXED P1-001: Saver's Credit now auto-fires for single filers at correct threshold.
8,W2,"W2-08: MFJ, $420K, RSUs + capital gains, owns home",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Consider Itemizing Deductions | Contribute to IRA | Backdoor Roth IRA | Net Investment Income Tax (NIIT) — 3.8% Surtax Alert | Quarterly Estimated Tax Payments Due,,,tax-loss harvesting (FIXED P1-003: now fires year-round) || NIIT at 3.8% on $600K total,,,,,,,FIXED P1-003: Tax-Loss Harvesting now fires year-round. Auditor: does AI bring it up unprompted?
9,SE,"SE-01: Sole prop, $80K net, renter, single",PASS,QBI | SEP-IRA | Self-Employment Tax Deduction,Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Contribute to IRA,,,§199A QBI deduction 20% || SEP-IRA up to 25% of net,,,,,,,FIXED P1-002: WOTC false positive fixed — only fires for entity types with employees.
10,SE,"SE-02: Freelancer, $45K, renter, single, age 27",PASS,QBI | SEP-IRA | Self-Employment Tax,Solo 401(k) Beats SEP-IRA for Your Income Level | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Contribute to IRA | Self-Employment Tax Deduction,,,QBI deduction || SEP-IRA vs solo 401k tradeoff,,,,,,,Low SE — Defined Benefit correctly should NOT fire ($45K < $150K threshold). Good baseline.
