d1_surface,d2_module_group,d3_module,d3_prefixes,d4_actions,endpoint_count,auth_pattern,explicit_role_checks_in_module,guest_public,core_consumer,core_cpa_client,core_cpa_team,core_platform_admin,rbac_partner_staff,rbac_platform_suite,portal_client_token,risk_flags,sample_endpoints,source_file
Admin Panel API,Firm Admin Ops,alert_routes.py,"alerts, notifications",read/list | create/action | update,18,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /alerts; GET /alerts/summary; GET /alerts/{alert_id}; POST /alerts/{alert_id}/acknowledge,src/admin_panel/api/alert_routes.py
Admin Panel API,Firm Admin Ops,auth_routes.py,/auth,read/list | create/action | delete,11,admin_auth,no,no,no,no,no,no,yes,yes,no,,POST /auth/login; POST /auth/logout; POST /auth/refresh; POST /auth/password/change,src/admin_panel/api/auth_routes.py
Admin Panel API,Firm Admin Ops,billing_routes.py,/billing,read/list | create/action | review | billing | payments,9,permission_gate,no,no,no,no,no,no,partial(permission_based),partial(permission_based),no,,GET /billing/subscription; GET /billing/usage; GET /billing/plans; POST /billing/upgrade/preview,src/admin_panel/api/billing_routes.py
Admin Panel API,Firm Admin Ops,client_routes.py,clients,read/list | create/action | update | status | clients,15,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /clients; GET /clients/{client_id}; GET /clients/unassigned; POST /clients/assign,src/admin_panel/api/client_routes.py
Admin Panel API,Firm Admin Ops,compliance_routes.py,"audit, compliance, security",read/list | create/action | status | reporting,13,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /audit/logs; GET /audit/logs/{log_id}; GET /audit/actions; GET /audit/activity/summary,src/admin_panel/api/compliance_routes.py
Admin Panel API,Firm Admin Ops,dashboard_routes.py,dashboard,read/list | create/action,5,admin_auth,no,no,no,no,no,no,yes,yes,no,,GET /dashboard; GET /dashboard/alerts; POST /dashboard/alerts/{alert_id}/read; GET /dashboard/activity,src/admin_panel/api/dashboard_routes.py
Admin Panel API,Firm Admin Ops,platform_billing_routes.py,/platform-billing,read/list | create/action | billing | payments | settings,8,platform_admin_gate,no,no,no,no,no,no,no,yes,no,,GET /platform-billing/settings; GET /platform-billing/tiers; GET /platform-billing/revenue; GET /platform-billing/bank-details/{method},src/admin_panel/api/platform_billing_routes.py
Admin Panel API,Firm Admin Ops,rbac_routes.py,/admin/rbac,read/list | create/action | update | delete,11,platform_admin_gate,no,no,no,no,no,no,no,yes,no,,GET /admin/rbac/permissions; GET /admin/rbac/roles; POST /admin/rbac/roles; GET /admin/rbac/roles/{role_id},src/admin_panel/api/rbac_routes.py
Admin Panel API,Firm Admin Ops,settings_routes.py,/settings,read/list | create/action | update | delete | settings,11,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /settings; GET /settings/profile; PUT /settings/profile; GET /settings/branding,src/admin_panel/api/settings_routes.py
Admin Panel API,Firm Admin Ops,team_routes.py,/team,read/list | create/action | update | delete | team,10,firm_admin_gate,yes,no,no,no,no,no,partial(partner_only),no,no,,GET /team; POST /team; GET /team/{user_id}; PUT /team/{user_id},src/admin_panel/api/team_routes.py
